Dependencia,count,mean,std,min,25%,50%,75%,max
FAC. DE ARTES ESCENICAS,2400.0,13296.429900000001,9223.491222361663,1252.0,7481.085,10405.41,16267.58,68377.74
CENTRO DE INVESTIGACION EN PRODUCCION AGROPECUARIA,2335.0,10079.712603854392,4625.920949756023,2483.47,7299.620000000001,9261.54,11325.6,48030.17
SECRETARIA DE EXT.Y CULTURA,2304.0,12704.787651909723,8469.323161887478,2731.28,8549.0175,10709.885,13932.51,97556.97
ESCUELA PREPARATORIA #20,2288.0,15796.398286713287,8117.55895937287,187.54,9734.002499999999,14250.955,19828.89,56814.65
ESCUELA PREPARATORIA #18,2281.0,15352.351345900921,10010.840943732843,1786.85,8615.98,11987.01,20013.3,72179.05
DIRECCION DE CONSTRUCCION Y MANTENIMIENTO,2119.0,13574.228400188771,7887.6995359503035,265.57,9364.48,11422.84,16406.765,92363.16
ESCUELA PREPARATORIA #19,2106.0,13404.799434947769,6681.48949338304,2007.52,8438.765,12453.42,16482.0,54550.87
ESCUELA PREPARATORIA #17,1985.0,16301.607722921915,8715.857228452242,246.65,10538.09,14813.79,19112.85,56492.78
DIRECCION GENERAL DE PLANEACION Y PROYECTOS ESTRATEGICOS,1930.0,17544.987860103625,13681.907446285313,2902.05,9760.8025,13071.85,19681.93,112917.75
CAPILLA ALFONSINA BIBLIOTECA UNIVERSITARIA,1928.0,11789.009434647302,6349.997557968528,1535.48,8349.56,10856.49,13747.877499999999,78959.29
DEPARTAMENTO DE BECAS,1883.0,13075.725857673924,8870.176529256025,1039.07,8562.475,11169.73,15073.61,81558.24
OFICINA DE LA ABOGACÍA GENERAL,1866.0,16386.420948553055,11826.362108247678,3620.12,9379.965,12191.994999999999,17718.85,79717.21
DIRECCION DE RECURSOS HUMANOS Y NOMINAS,1831.0,13313.795543418897,8143.741899792642,383.4,8399.55,11428.08,15071.83,78631.13
ESCUELA PREPARATORIA #13,1824.0,14052.89315241228,9597.940149245385,356.27,7825.25,11114.895,17055.6275,68898.0
DIRECCION DE DESARROLLO CULTURAL,1739.0,12170.393151236342,6525.328843222215,1897.33,8087.74,10052.01,14164.085,47664.5
DIRECCION DE SERVICIO SOCIAL Y PRACTICAS PROFESIONALES,1724.0,15342.390672853828,9535.73404979769,198.64,8616.032500000001,13056.255000000001,18909.47,78980.18
ESCUELA PREPARATORIA # 6,1682.0,13189.298775267538,7905.969684742265,2906.55,8210.657500000001,10856.49,15386.9475,55938.54
CENTRO ACUATICO OLIMPICO UNIVERSITARIO,1649.0,11764.704360218315,4796.586404882942,1100.22,8650.88,11325.6,13178.33,46698.47
SECRETARIA GENERAL,1497.0,17644.29150300601,18066.82524374554,2329.22,8813.5,11186.04,15081.66,121781.67
CENTRO DE INVESTIGACION Y DESARROLLO EN CIENCIAS DE LA SALUD,1434.0,11148.526799163179,5957.596913809879,1382.31,8213.76,10709.470000000001,12300.0075,72298.97
INST. DE INVESTIGACIONES SOCIALES,1313.0,20865.75884234577,11001.900730986956,5111.94,11944.81,19721.98,25553.05,81232.39
ESCUELA PREPARATORIA # 5,1303.0,14519.600299309288,8963.360797172736,350.98,8020.4400000000005,12425.6,18207.29,52934.28
ESCUELA PREPARATORIA #21,1245.0,13665.748473895583,8469.295701538964,388.77,7722.65,10856.47,17541.04,58329.82
ESCUELA PREPARATORIA #14,1119.0,14758.774316353889,9358.751153115927,924.43,8070.3,11835.75,18567.68,56302.98
TEATRO UNIVERSITARIO,1103.0,10873.276872166816,8876.623892963189,2611.44,6938.375,8717.98,10864.93,67532.31
DIRECCION DE EDITORIAL UNIVERSITARIA,1099.0,12016.563011828935,5461.825647369156,4634.34,8234.1,10909.95,13834.825,35032.51
DIRECCION DE COMUNICACION INSTITUCIONAL,1080.0,13876.772685185186,9373.53819216073,928.04,8388.445,10747.305,15639.3475,69085.55
CENTRO DE ACONDICIONAMIENTO FISICO MAGISTERIAL,1060.0,10931.51786792453,3998.4318489370467,3430.14,7984.08,10471.07,13473.57,27592.07
ESCUELA PREPARATORIA #10,1056.0,12994.767689393939,10477.808256289078,1217.2,7442.55,9313.78,14549.25,70729.44
CONTRALORIA GENERAL,1029.0,16299.738921282798,11719.82462707417,3211.49,9082.7,12562.54,18820.55,87674.49
