group1,group2,meandiff,p-adj,lower,upper,reject
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,CONTRALORIA GENERAL,3845.2978,0.0,1364.2572,6326.3385,True
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,CTRO. DE INF. DE HISTORIA REGIONAL,898.0598,1.0,-1840.9569,3637.0765,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,CTRO. DE INVESTIGACIÓN; INNOVACIÓN Y DESARROLLO DE LAS ARTES,293.8706,1.0,-2327.6493,2915.3904,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,DEPARTAMENTO DE ADQUISICIONES,4174.2768,0.0,1340.3908,7008.1628,True
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,DEPARTAMENTO DE BECAS,621.2848,1.0,-1709.3806,2951.9501,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,DEPARTAMENTO ESCOLAR Y DE ARCHIVO,-1830.7551,0.5373,-4058.1433,396.6331,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,DEPTO. DE PERSONAL,-2468.4918,0.0631,-4970.765,33.7814,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,DIRECCION DE ACTIVIDADES ESTUDIANTILES,-1440.9597,1.0,-4360.8111,1478.8917,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,DIRECCION DE BIBLIOTECAS,-170.2317,1.0,-2386.9976,2046.5341,False
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,DIRECCION DE COMUNICACION INSTITUCIONAL,1422.3316,0.9999,-1043.4795,3888.1427,False
